"ID","NAME","STATUS","OPENINGTIME","CLOSINGTIME","DAYSOFWEEK","PARTOFREFERENCE","MANAGINGORGANIZATION","TYPECODE","TYPEDESCRIPTION"
Q1,QUIROFANO 01,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI0,CMQUI,OR,Operating room
Q2,QUIROFANO 02,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI0,CMQUI,OR,Operating room
Q3,QUIROFANO 03,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI0,CMQUI,OR,Operating room
Q4,QUIROFANO 04,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI0,CMQUI,OR,Operating room
Q5,QUIROFANO 05,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI0,CMQUI,OR,Operating room
Q6,QUIROFANO 06,active,"00:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUIU,CMQUI,OR,Operating room
Q7,QUIROFANO 07,active,"00:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUIU,CMQUI,OR,Operating room
Q8,QUIROFANO 08,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI1,CMQUI,OR,Operating room
Q9,QUIROFANO 09,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI1,CMQUI,OR,Operating room
Q10,QUIROFANO 10,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI1,CMQUI,OR,Operating room
Q11,QUIROFANO 11,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI1,CMQUI,OR,Operating room
Q12,QUIROFANO 12,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI1,CMQUI,OR,Operating room
Q13,QUIROFANO 13,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI1,CMQUI,OR,Operating room
Q14,QUIROFANO 14,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI1,CMQUI,OR,Operating room
Q15,QUIROFANO 15,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI2,CMQUI,OR,Operating room
Q16,QUIROFANO 16,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI2,CMQUI,OR,Operating room
Q17,QUIROFANO 17,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI2,CMQUI,OR,Operating room
Q18,QUIROFANO 18,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI2,CMQUI,OR,Operating room
Q19,QUIROFANO 19,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI2,CMQUI,OR,Operating room
Q20,QUIROFANO 20,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI5,CMQUI,OR,Operating room
Q21,QUIROFANO 21,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI5,CMQUI,OR,Operating room
Q22,QUIROFANO 22,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",CONC1,CONC,OR,Operating room
Q23,QUIROFANO 23,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",CONC1,CONC,OR,Operating room
Q24,QUIROFANO 24,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CONC2,CONC,OR,Operating room
Q25,QUIROFANO 25,inactive,"00:00:00","23:59:00","mon,tue,wed,thu,fri",CONC2,CONC,OR,Operating room
Q26,QUIROFANO 26,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI0C,CMQUI,OR,Operating room
Q28,QUIROFANO 28 (RIO),active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CONC0,CONC,OR,Operating room
Q29,QUIROFANO 29 (CIR. NEONATOS),active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CINF2,CINF,OR,Operating room
Q30,QUIROFANO 30,active,"08:00:00","23:59:00","mon,tue,wed,thu,fri",CMQUI2,CMQUI,OR,Operating room
